time_s,rest_time_s,energy,food_items,searching,grabbing,deposit,homing,resting,avoidance,gamma_f,gamma_r,gamma_l,entered_deposit,completed_deposit
440.25,80.0,3105.3818413263816,3.0919634787004364,2.6414073593730274,1.1138325180228317,0.6061159843667455,0.0471841740183835,3.4606243304295656,0.13083563378943852,0.009055750582831923,0.004356256316674245,0.008110742067011976,0.010105654706235787,0.010097888119065047
445.25,80.0,3265.147977749515,3.089844238458935,2.6375761200762033,1.1123012039803954,0.6062791968851005,0.047035252883185434,3.466383450523827,0.13042477565128022,0.009049573181997395,0.004349135908236268,0.00808636113809729,0.010106016427771867,0.010099342349044816
450.25,80.0,3425.3453961716655,3.0877381899218848,2.6344559745685125,1.1108391088570515,0.6063352506977611,0.046890059751100666,3.4714110854432625,0.13006852068230312,0.009043427929114833,0.004342917236244359,0.00806628412963775,0.010104226454414368,0.010105086017097168
455.25,80.0,3585.872398359555,3.0856954720400886,2.632103659019405,1.109491286331553,0.6062680066603358,0.046732154365783395,3.4756338789249477,0.1297710146979677,0.009037460036882106,0.004337677737763168,0.008050935608447584,0.010099953523655733,0.010105654706235787
460.25,80.0,3746.5887868737664,3.0837532566257244,2.630590086474112,1.1082857374397688,0.6060909818331982,0.046543723037611416,3.478949494794937,0.1295399764203642,0.0090317811416597,0.004333548497186812,0.008040789624649191,0.010094315729541772,0.010106016427771867
465.25,80.0,3907.40720132297,3.0819396791611657,2.629985925294477,1.1072418647235613,0.6057985107607055,0.046319240482698656,3.4812732865177374,0.12938117222081236,0.009026472753357107,0.004330630638498367,0.008036286894271192,0.01008713344055119,0.010104226454414368
470.25,80.0,4068.180319542685,3.080286750858019,2.630359445509319,1.1063824927070358,0.6054087211820564,0.04605584496647434,3.4824917899655974,0.1293017056695092,0.009021627983782143,0.004329063250976595,0.008037865781597979,0.010078330203810805,0.010099953523655733
475.25,80.0,4228.781888057346,3.0788267767705038,2.6317745741414234,1.1057299254382542,0.6049264798552075,0.045751749542493295,3.482508964738712,0.12930830628390083,0.00901734107271146,0.00432896611632394,0.008045933210725992,0.010067922180759184,0.010094315729541772
480.25,80.0,4389.099939613362,3.0775917269429716,2.634281277410289,1.1053057899211398,0.6043479522181808,0.04540812129996057,3.4812504127269035,0.12940644642351778,0.009013705265866312,0.004330431433329451,0.008060808489088966,0.010055919320593907,0.01008713344055119
485.25,80.0,4549.011739282914,3.0766131552307234,2.637902026047959,1.1051306689286122,0.6036735956272827,0.04502789050619118,3.47866543102633,0.1296003878636162,0.009010812693745263,0.004333530492128035,0.008082680274804079,0.010042365182977984,0.010078330203810805
490.25,80.0,4708.413580946592,3.075917217598322,2.6399707137644555,1.1051906714637179,0.6029095591721679,0.04598293916924516,3.47616478417143,0.129781332258976,0.00900874204572899,0.00433668738116566,0.00809746674324782,0.010028091213896523,0.010067922180759184
495.25,80.0,4867.285058588838,3.075470553080104,2.6414375875653393,1.1053568210898943,0.6021211738628531,0.04597701217825738,3.475206807118613,0.12990059818503488,0.009007410119375558,0.004337954854768511,0.008108534768449027,0.01001791907173148,0.010055919320593907
500.25,80.0,5025.634938957955,3.0751589176177148,2.6410439430786874,1.105535067360382,0.6014542376129942,0.04613010860613442,3.475939044366248,0.12989759897554592,0.009006492954570788,0.004337173580379994,0.00810893817424412,0.010014977057739497,0.010042365182977984
