time_s,macro_energy,micro_energy_mean,micro_energy_std
2315.25,73818.14968274963,91486.25,5480.543299938428
2320.25,74004.84828766383,91690.55,5454.796956349522
2325.25,74191.54689256387,92097.775,5372.072561463127
2330.25,74378.24549745064,91903.65,5347.441971634662
2335.25,74564.9441023251,92713.575,5919.367331111071
2340.25,74751.6427071883,92521.025,5921.155618257723
2345.25,74938.34131204132,92708.0,5802.806306004019
2350.25,75125.03991688526,93707.35,5247.066330579402
2355.25,75311.73852172132,93922.0,4831.38015866067
2360.25,75498.43712655055,93736.875,4809.076120017752
2365.25,75685.13573137406,93749.725,4907.593890403423
2370.25,75871.83433619299,94358.075,4668.201950497108
2375.25,76058.53294100835,94354.275,4677.47337706213
2380.25,76245.23154582115,94553.625,4565.767924525402
2385.25,76431.93015063234,94751.625,4335.593986482706
2390.25,76618.62875544274,95146.475,4362.56839122609
2395.25,76805.3273602532,95536.6,4432.753423663446
2400.25,76992.02596506441,95526.275,4213.765080735398
2405.25,77178.72456987706,95698.4,3880.1383757541435
2410.25,77365.42317469169,95866.7,3785.9627718719053
2415.25,77552.12177950882,96250.525,4050.3725036254377
2420.25,77738.82038432886,96638.625,4412.481654706907
2425.25,77925.51898915216,97440.9,5368.845423133357
2430.25,78112.21759397896,97247.225,5401.522123959598
2435.25,78298.9161988095,97448.15,5251.876353028506
2440.25,78485.61480364387,97854.25,5664.579082994605
2445.25,78672.3134084822,98051.8,5569.200122997916
2450.25,78859.01201332445,98256.1,5173.035507803905
2455.25,79045.71061817063,98668.725,5243.703386503188
2460.25,79232.4092230206,98673.25,5036.314544138402
2465.25,79419.1078278743,98464.275,5045.273378928539
2470.25,79605.8064327315,99044.95,5426.367558966127
2475.25,79792.50503759207,99025.4,5521.746274051353
2480.25,79979.20364245577,98804.95,5555.337152009767
2485.25,80165.90224732239,99578.425,6141.368081553572
2490.25,80352.60085219164,99360.9,6186.622521820771
2495.25,80539.2994570633,99345.175,6128.899855449182
2500.25,80725.99806193703,99327.875,6131.560437859599
2505.25,80912.69666681263,99519.575,6107.992482242017
2510.25,81099.39527168978,99700.475,5924.361990385548
2515.25,81286.09387656825,99476.65,5958.511294988036
2520.25,81472.79248144774,100055.525,6514.146400766949
2525.25,81659.49108632802,100040.7,6408.300631602734
2530.25,81846.18969120889,100433.75,6364.3437986567005
2535.25,82032.88829609008,101234.675,5923.496407369975
2540.25,82219.58690097129,102458.775,5908.8763382410525
2545.25,82406.28550585249,102700.2,6020.968560788206
2550.25,82592.98411073357,102530.825,6037.095005101791
2555.25,82779.68271561427,102958.075,6463.186057442954
2560.25,82966.38132049445,102776.55,6497.65956979896
2565.25,83153.07992537401,102784.0,6646.433245546065
2570.25,83339.77853025285,102998.875,6507.945556442909
2575.25,83526.47713513089,103408.8,6207.000000805542
2580.25,83713.17574000807,103220.075,6198.7324168433815
2585.25,83899.87434488436,103428.425,6092.098612188168
2590.25,84086.5729497597,103635.425,5801.627357959575
2595.25,84273.27155463414,104245.35,5920.330324610276
2600.25,84459.9701595076,104044.7,5913.656230285964
2605.25,84646.66876438014,104442.7,5700.9154865688015
